id,radius,chumRadius,hp,hpPerDifficulty,speed,speedVariance,speedPerDifficulty,turnRate,contactDamage,contactDamagePerDifficulty,scalePerDifficulty,maxGrowth,scaleVariance,xp,weight,weightPerDifficulty,maxWeight,maxConcurrent,minDifficulty,minPlayerLevel,spawnRateMul,spawnGroup,bioluminescent,bossMinion,invincible
fish,0.4,,6,0.8,6,1.5,,,3,,,,,2,0.6,0.04,0.85,55,0,0,1,,,,
shark,1.2,,75,5,7,1,,2.6,24,,,,,15,0.22,0.1,0.9,8,0.5,3,1,apex shark,,,
trout,0.42,,7,0.9,5.5,1.3,,,3,,,,,3,0.7,0.05,0.95,40,0,0,1,,,,
tang,0.4,,6,0.8,5,1.2,,,3,,,,,3,0.7,0.05,0.95,40,0,0,1,,,,
reeffish,0.38,,6,0.8,5.5,1.4,,,3,,,,,3,0.6,0.04,0.85,40,0,0,1,,,,
fishPackA,0.35,,6,0.8,5,1.2,,,3,,,,,3,0.35,0.02,0.7,26,0,0,1,,,,
fishPackB,0.42,,7,0.9,4.6,1,,,3,,,,,4,0.35,0.02,0.7,26,0,0,1,,,,
fishPackC,0.32,,5,0.7,5.4,1.3,,,2,,,,,3,0.35,0.02,0.7,26,0,0,1,,,,
fishesA,0.34,,6,0.8,5.2,1.3,,,3,,,,,3,0.22,0.015,0.45,26,0,0,1,,,,
fishesB,0.4,,7,0.9,4.8,1.1,,,3,,,,,4,0.22,0.015,0.45,26,0,0,1,,,,
fishesC,0.33,,6,0.8,5.6,1.4,,,3,,,,,3,0.22,0.015,0.45,26,0,0,1,,,,
brownfish,0.36,,7,0.85,5.3,1.3,,,3,,,,,3,0.26,0.018,0.52,26,0,0,1,,,,
clownfish,0.3,,5,0.7,5,1.2,,,2,,,,,3,0.26,0.018,0.52,32,0,0,1,,,,
surgeonfish,0.34,,6,0.8,5.4,1.3,,,3,,,,,3,0.26,0.018,0.52,26,0,0,1,,,,
tuna,0.4,,12,1.3,7.6,1.5,,,4,,,,,6,0.2,0.016,0.42,20,0.7,0,1,,,,
lanternfish,0.4,,7,0.9,5.8,1.4,,,3,,,,,4,0.5,0.05,1.2,30,2,0,1,,yes,,
glowTang,0.4,,7,0.9,5.2,1.2,,,3,,,,,4,0.28,0.03,0.7,22,2.5,0,1,,yes,,
glowDarter,0.34,,6,0.8,7.2,1.8,,,3,,,,,4,0.24,0.03,0.65,26,3,0,1,,yes,,
greatWhite,1.4,,85,9,6,1,,2.2,26,,,,,18,0.18,0.035,0.75,6,1.5,0,1,apex shark,,,
hammerhead,1.3,,80,6,7.5,1,,3.4,25,,,,,17,0.18,0.04,0.75,6,1,3,1,apex shark,,,
abyssShark,1.4,,110,10,6.4,1,,2.2,30,,,,,26,0.1,0.02,0.5,3,3,5,1,apex shark,yes,,
megalodon,2.2,,220,20,5.5,0.8,,1.6,42,,,,,40,0.07,0.015,0.35,3,3,8,1,apex shark leviathan,,,
mightyMeg,2,,190,18,6,0.9,,1.8,38,,,,,36,0.07,0.015,0.35,3,2.6,8,1,apex shark leviathan,,,
bossShark,2.2,,1500,210,5.2,,,1.4,44,,,,,120,0,,,1,0,0,0,apex shark,,,
bossOrca,1.8,,1310,185,7,,,2.4,40,,,,,120,0,,,1,0,0,0,apex,,,
bossSquid,2.1,,1450,190,3.5,,.2,1.7,46,,,,,130,0,,,1,0,0,0,apex,,,
bossCrab,0.5,2,1700,200,4,,,,48,,,,,140,0,,,1,0,0,0,apex,,,
bossMosasaur,2,,1600,205,5.4,,,1.15,50,,,,,135,0,,,1,0,0,0,apex,,,
bossHammerhead,1.3,,1400,180,6.6,,,2.6,38,,,,,125,0,,,1,0,0,0,apex shark,,,
walkingCrab,.2,,34,8,3,0.6,0.04,,12,0.45,0.015,1.6,0.16,9,0.35,0.03,0.6,10,0.4,5,0,crab,,,
emberCrab,.3,,44,9,3.2,0.6,0.04,,15,0.5,0.015,1.6,0.16,14,0.35,0.03,0.6,10,1.5,5,0,crab,yes,,
dolphin,0.85,,44,4,10.5,1.5,,3.6,18,,,,,16,0,0,0,8,1,3,0,apex,,,
stingray,0.7,,30,2.5,5,1.2,,,14,,,,,10,0.38,0.02,1.2,12,0.4,2,1,,,,
lanternRay,0.7,,34,2.8,4.6,1,,,14,,,,,14,0.2,0.015,0.7,6,2.5,3,1,,yes,,
puffer,0.45,,22,2,3.2,0.6,,,11,,,,,6,0.2,0.018,0.45,8,0.5,2,1,,,,
seaTurtle,1,,250,0,1.6,0.4,,,8,,,,0.6,0,0.4,0.02,0.7,6,0.3,1,1,,,,1
barracuda,0.45,,10,1,9,2,,,32,,,,,8,0.16,0.022,1.5,30,0.8,3,1,,,,
sailfish,0.5,,30,2.6,12,1.6,,3.2,24,,,,,13,0.12,0.014,0.95,16,1.6,5,1,,,,
squid,0.55,,24,2.2,6.4,1.2,,2.2,16,,,,,9,0.24,0.045,2,16,0.7,2,1,,yes,,
oyster,0.6,,40,3,0,0,,,0,,,,,12,0.2,0.015,0.4,6,0.5,2,1,,,,
bossBoat,4.2,,2000,260,0,,,0,52,,,,,160,0,,,1,0,0,0,apex,,,
bossYacht,4.6,,2000,260,0,,,0,52,,,,,160,0,,,1,0,0,0,apex,,,
